address,amenities,buildingSize,city,extraInfo,listingDate,listingID,price,propType,spaceAvailable,spaces,state,status,subType,transport,utilities
110 Kent Ave,,"12,000 SF",Brooklyn,"Rental Rate,$75.00 /SF/YR,Rentable Building Area,12,000 SF,Property Type,Industrial,Year Built,1925,Property Subtype,Warehouse",10/28/2019,17154986,$6.25 SF/Mo,Industrial,"1,000 - 5,600 SF",3 Spaces,NY,For Lease,Office/Retail,"[('Bedford Avenue Transit Stop', '11 min walk', '0.5 mi'), ('Nassau Avenue Transit Stop', '(G)', '16 min walk'), ('0.8 mi', 'Metropolitan Avenue Transit Stop', '(G)'), ('19 min walk', '0.9 mi', 'Greenpoint Avenue Transit Stop'), ('(G)', '20 min walk', '0.9 mi'), ('Lorimer Street', '20 min walk', '1.0 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '6 min drive', '2.1 mi'), ('Long Island City Station Commuter Rail (Hempstead Branch)', '7 min drive', '2.4 mi'), ('La Guardia Airport', '13 min drive', '7.2 mi'), ('Newark Liberty International Airport', '35 min drive', '15.4 mi'), ('John F. Kennedy International Airport', '23 min drive', '15.7 mi'), ('NY - Red Hook Container Terminal', '11 min drive', '5.5 mi'), ('PORT OF NEW YORK AND NEW JERSEY', '12 min drive', '5.7 mi')]",
5 Jeanne Dr,Signage,"32,500 SF",Newburgh,"Rental Rate,$14.00 /SF/YR,Rentable Building Area,32,500 SF,Property Type,Industrial,Year Built,1987,Property Subtype,Warehouse,Cross Streets,Plattekill Tpke",9/11/2019,17171207,$1.17 SF/Mo,Industrial,"5,000 SF",1 Space,NY,For Lease,Office,"[('Beacon Station Commuter Rail (Hudson Line)', '15 min drive', '8.1 mi'), ('Stewart International Airport', '15 min drive', '6.8 mi'), ('Port Newark Container Terminal', '93 min drive', '70.1 mi'), (""Shepard'S Incorporated"", '62 min drive', '45.5 mi')]","Lighting - Fluorescent,Gas - Natural,Water - City Water,Sewer - Septic Field,Heating - Gas"
156 Ames St,,"80,000 SF",Rochester,"Rental Rate,$4.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,2,000 SF,Rentable Building Area,80,000 SF,Property Type,Industrial,Year Built,1920",9/10/2019,17157810,$0.33 SF/Mo,Industrial,"2,000 - 70,000 SF",1 Space,NY,For Lease,Industrial,,"Lighting - Fluorescent,Gas - Natural,Water - City Water,Sewer - County Sewer,Heating - Gas"
700 Hicks St,Property Manager on Site,"32,190 SF",Brooklyn,"Rental Rate,$17.00 /SF/YR,Rentable Building Area,32,190 SF,Property Type,Industrial,Year Built,1929,Property Subtype,Warehouse",10/14/2019,17177932,$1.42 SF/Mo,Industrial,"5,552 - 32,188 SF",2 Spaces,NY,For Lease,Industrial,"[('Smith-9 Streets Transit Stop', '(F, G)', '11 min walk'), ('0.5 mi', 'Carroll Street Transit Stop', '(F, G)'), ('15 min walk', '0.8 mi', 'Flatbush Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)'), ('7 min drive', '2.7 mi', 'Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)'), ('9 min drive', '4.2 mi', 'La Guardia Airport'), ('21 min drive', '12.6 mi', 'John F. Kennedy International Airport'), ('25 min drive', '15.0 mi', 'Newark Liberty International Airport'), ('34 min drive', '15.8 mi', 'NY - Red Hook Container Terminal'), ('2 min drive', '0.8 mi', 'PORT OF NEW YORK AND NEW JERSEY'), ('3 min drive', '0.8 mi')]",
565 Broadhollow Rd,,"126,500 SF",Farmingdale,"Rental Rate,$17.50 - $18.50 /SF/YR,Rentable Building Area,126,500 SF,Property Type,Industrial,Year Built,1960,Property Subtype,Warehouse",1/24/2020,17178954,$1.46 - $1.54 SF/Mo,Industrial,"543 - 1,282 SF",2 Spaces,NY,For Lease,"Office, Industrial","[('Farmingdale Station Commuter Rail (Ronkonkoma Branch)', '6 min drive', '2.7 mi'), ('Pinelawn Station Commuter Rail (Ronkonkoma Branch)', '6 min drive', '2.7 mi'), ('Long Island MacArthur Airport', '30 min drive', '22.1 mi'), ('John F. Kennedy International Airport', '30 min drive', '25.2 mi'), ('La Guardia Airport', '39 min drive', '32.3 mi'), ('NY - Red Hook Container Terminal', '45 min drive', '34.9 mi'), ('Pinter Warehouse', '12 min drive', '8.4 mi')]","Sewer - City Sewer,Heating - Gas"
509 Temple Hill Rd,,"65,800 SF",New Windsor,"Rental Rate,$5.95 /SF/YR,Rentable Building Area,65,800 SF,Min. Divisible,24,000 SF,Year Built,1977,Property Type,Industrial,Cross Streets,Wembly Rd,Property Subtype,Warehouse",9/12/2019,17179133,$0.50 SF/Mo,Industrial,"24,000 - 65,800 SF",1 Space,NY,For Lease,Industrial,"[('Salisbury Mills Cornwall Commuter Rail (Bergen County/Port Jervis, Main/Port Jervis Lines)', '10 min drive', '5.1 mi'), ('Beacon Station Commuter Rail (Hudson Line)', '15 min drive', '8.8 mi')]","Lighting - Fluorescent,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
11-22 44th Rd,,"32,220 SF",Long Island City,"Rental Rate,$30.00 /SF/YR,Rentable Building Area,32,220 SF,Property Type,Industrial,Year Built,1931,Property Subtype,Warehouse",9/12/2019,17177109,$2.50 SF/Mo,Industrial,"3,000 SF",1 Space,NY,For Lease,Office,"[('Court Square - 23rd Street Transit Stop', '4 min walk', '0.2 mi'), ('45 Road-Court House Square Transit Stop', '8 min walk', '0.4 mi'), ('21 Street Transit Stop', '(G)', '8 min walk'), ('0.4 mi', 'Long Island City-Court Square Transit Stop', '(G)'), ('8 min walk', '0.4 mi', 'Queensboro Plaza Transit Stop'), ('12 min walk', '0.6 mi', 'Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)'), ('13 min walk', '0.6 mi', 'Long Island City Station Commuter Rail (Hempstead Branch)'), ('18 min walk', '0.9 mi', 'La Guardia Airport'), ('11 min drive', '5.5 mi', 'John F. Kennedy International Airport'), ('23 min drive', '15.5 mi', 'Newark Liberty International Airport'), ('34 min drive', '18.4 mi', 'NY - Red Hook Container Terminal'), ('15 min drive', '7.3 mi', 'NEW YORK AND ATLANTIC RAILWAY'), ('14 min drive', '6.4 mi')]",Heating - Gas
224 48th St,,"8,000 SF",Brooklyn,"Rental Rate,$23.00 /SF/YR,Rentable Building Area,8,000 SF,Property Type,Industrial,Year Built/Renovated,1899/2016,Property Subtype,Warehouse,Cross Streets,3rd Avenue",9/12/2019,17181995,$1.92 SF/Mo,Industrial,"4,000 SF",1 Space,NY,For Lease,Industrial,"[('Flatbush Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '9 min drive', '3.5 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '11 min drive', '5.0 mi'), ('La Guardia Airport', '25 min drive', '13.5 mi'), ('John F. Kennedy International Airport', '28 min drive', '15.4 mi'), ('Newark Liberty International Airport', '38 min drive', '17.8 mi'), ('NY - Red Hook Container Terminal', '8 min drive', '3.2 mi'), ('Liberty Transmodal, Inc. c/o Cross Harbor', '2 min drive', '0.7 mi')]",
31-17 38th Ave,,"8,000 SF",Long Island City,"Rental Rate,$25.00 /SF/YR,Rentable Building Area,8,000 SF,Property Type,Industrial,Year Built,1950,Property Subtype,Warehouse",9/12/2019,17181186,$2.08 SF/Mo,Industrial,"8,000 SF",1 Space,NY,For Lease,Industrial,"[('39 Avenue Transit Stop', '4 min walk', '0.2 mi'), ('36 Street', '5 min walk', '0.2 mi'), ('36 Avenue Transit Stop', '6 min walk', '0.3 mi'), ('Queens Plaza Transit Stop', '10 min walk', '0.5 mi'), ('Queensboro Plaza Transit Stop', '14 min walk', '0.7 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '4 min drive', '1.4 mi'), ('Woodside Station Commuter Rail (Ronkonkoma Branch, Long Beach Branch, Port Jefferson Branch, Hempstead Branch, Montauk Branch, Port Washington Branch, Far Rockaway Branch, Babylon Branch)', '6 min drive', '2.5 mi'), ('La Guardia Airport', '9 min drive', '4.2 mi'), ('John F. Kennedy International Airport', '22 min drive', '15.3 mi'), ('Newark Liberty International Airport', '35 min drive', '19.1 mi'), ('NY - Red Hook Container Terminal', '16 min drive', '8.7 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '13 min drive', '6.0 mi')]",Heating - Gas
48 Grattan St,"Fenced Lot,Metro/Subway,Mezzanine,Property Manager on Site,Security System","10,000 SF",Brooklyn,"Rental Rate,$40.00 /SF/YR,Rentable Building Area,10,000 SF,Property Type,Industrial,Year Built,2001,Property Subtype,Warehouse",4/25/2019,17185535,$3.33 SF/Mo,Industrial,"2,400 SF",1 Space,NY,For Lease,Industrial,"[('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '8 min drive', '3.2 mi'), ('East New York Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Far Rockaway Branch)', '8 min drive', '3.6 mi'), ('La Guardia Airport', '14 min drive', '7.4 mi'), ('John F. Kennedy International Airport', '21 min drive', '11.2 mi'), ('Newark Liberty International Airport', '37 min drive', '16.3 mi'), ('NY - Red Hook Container Terminal', '12 min drive', '5.5 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '8 min drive', '3.0 mi')]",
163 Bridge Rd,,"23,317 SF",Islandia,"Rental Rate,$21.00 /SF/YR,Rentable Building Area,23,317 SF,Property Type,Industrial,Year Built,1979,Property Subtype,Warehouse",2/28/2020,17189229,$1.75 SF/Mo,Industrial,"555 - 1,660 SF",2 Spaces,NY,For Lease,Office,"[('Central Islip Station Commuter Rail (Ronkonkoma Branch)', '5 min drive', '1.6 mi'), ('Brentwood Station Commuter Rail (Ronkonkoma Branch)', '9 min drive', '3.9 mi'), ('Long Island MacArthur Airport', '13 min drive', '5.9 mi'), ('NY - Red Hook Container Terminal', '65 min drive', '50.5 mi'), ('Pinter Warehouse', '17 min drive', '9.6 mi')]",Heating - Gas
1696-1700 Old Country Rd,"24 Hour Access,Restaurant,Security System,Signage,Storage Space,Air Conditioning","15,500 SF",Riverhead,"Rental Rate,$32.00 /SF/YR,Rentable Building Area,15,500 SF,Property Type,Industrial,Total Land Area,1.70 AC,Property Subtype,Warehouse,Year Built,1983",9/17/2019,17222150,$2.67 SF/Mo,Industrial,"2,750 SF",1 Space,NY,For Lease,Retail,"[('Riverhead Station Commuter Rail (Greenport Branch)', '6 min drive', '2.1 mi'), ('Westhampton Station Commuter Rail (Montauk Branch)', '18 min drive', '9.1 mi')]","Lighting - Fluorescent,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
505 Lincoln St,Commuter Rail,"16,700 SF",Riverhead,"Rental Rate,$12.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,2,000 SF,Rentable Building Area,16,700 SF,Property Type,Industrial,Year Built,1910",12/12/2019,17222196,$1.00 SF/Mo,Industrial,"2,000 - 14,000 SF",2 Spaces,NY,For Lease,Industrial,"[('Riverhead Station Commuter Rail (Greenport Branch)', '6 min walk', '0.3 mi'), ('Westhampton Station Commuter Rail (Montauk Branch)', '14 min drive', '7.2 mi'), ('Long Island MacArthur Airport', '42 min drive', '29.8 mi'), ('NY - Red Hook Container Terminal', '102 min drive', '81.0 mi'), ('TRANSFLO-NORTH HAVEN-CT', '189 min drive', '136.6 mi')]",
1900 Bleecker St,Bus Line,"85,000 SF",Utica,"Rental Rate,$6.25 /SF/YR,Rentable Building Area,85,000 SF,Property Type,Industrial,Year Built/Renovated,1960/2020,Property Subtype,Warehouse,Construction Status,Under Renovation",9/17/2019,17222833,$0.52 SF/Mo,Industrial,"85,000 SF",1 Space,NY,For Lease,Industrial,"[('Albany, NY Port', '112 min drive', '93.3 mi'), ('NS CONNECTING LINE BULK TRANSFER TERMINAL-UTICA-NY', '87 min drive', '53.5 mi')]",
286 W Montauk Hwy,"Signage,Storage Space","12,100 SF",Hampton Bays,"Rental Rate,$17.50 - $22.50 /SF/YR,Property Subtype,Warehouse,Total Space Available,10,116 SF,Rentable Building Area,12,100 SF,Max. Contiguous,3,233 SF,Year Built,2011,Property Type,Industrial",9/17/2019,17223290,$1.46 - $1.88 SF/Mo,Industrial,"1,117 - 10,116 SF",4 Spaces,NY,For Lease,"Office, Industrial",,Gas
44-02 11th St,"Bus Line,Fenced Lot,Metro/Subway,Property Manager on Site,Air Conditioning","120,000 SF",Long Island City,"Rental Rate,$31.00 /SF/YR,Rentable Building Area,120,000 SF,Property Type,Industrial,Year Built,1910,Property Subtype,Warehouse",9/18/2019,17233390,$2.58 SF/Mo,Industrial,"5,850 SF",1 Space,NY,For Lease,Office,"[('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '14 min walk', '0.7 mi'), ('Long Island City Station Commuter Rail (Hempstead Branch)', '17 min walk', '0.8 mi'), ('La Guardia Airport', '11 min drive', '5.4 mi'), ('John F. Kennedy International Airport', '23 min drive', '15.5 mi'), ('Newark Liberty International Airport', '34 min drive', '18.4 mi'), ('NY - Red Hook Container Terminal', '15 min drive', '7.3 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '13 min drive', '6.3 mi')]",
899 Long Island Ave,Fenced Lot,"14,000 SF",Deer Park,"Rental Rate,$13.50 /SF/YR,Rentable Building Area,14,000 SF,Property Type,Industrial,Year Built,1975,Property Subtype,Warehouse",10/2/2019,17254866,$1.13 SF/Mo,Industrial,"4,000 - 13,440 SF",3 Spaces,NY,For Lease,Industrial,"[('Deer Park Station Commuter Rail (Ronkonkoma Branch)', '6 min drive', '1.9 mi'), ('Wyandanch Station Commuter Rail (Ronkonkoma Branch)', '6 min drive', '2.3 mi'), ('Long Island MacArthur Airport', '25 min drive', '14.6 mi'), ('John F. Kennedy International Airport', '39 min drive', '32.4 mi'), ('La Guardia Airport', '48 min drive', '39.4 mi'), ('NY - Red Hook Container Terminal', '54 min drive', '42.0 mi'), ('Pinter Warehouse', '2 min drive', '0.4 mi')]",Heating - Gas
2470-2480 Rowe St,,"45,000 SF",Bronx,"Rental Rate,$20.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,20,000 SF,Rentable Building Area,45,000 SF,Property Type,Industrial,Year Built,1961",9/23/2019,17271666,$1.67 SF/Mo,Industrial,"20,000 - 22,000 SF",1 Space,NY,For Lease,Industrial,"[('Westchester Square-East Tremont Avenue Transit Stop', '6 min walk', '0.3 mi'), ('Zerega Avenue Transit Stop', '8 min walk', '0.4 mi'), ('Castle Hill Avenue Transit Stop', '14 min walk', '0.7 mi'), ('Middletown Road Transit Stop', '14 min walk', '0.7 mi'), ('Buhre Avenue Transit Stop', '20 min walk', '1.0 mi'), ('Botanical Garden Station Commuter Rail (Harlem Line)', '8 min drive', '3.7 mi'), ('Fordham Station Commuter Rail (Harlem, New Haven Lines)', '9 min drive', '3.8 mi'), ('La Guardia Airport', '16 min drive', '8.6 mi'), ('John F. Kennedy International Airport', '24 min drive', '16.2 mi'), ('Westchester County Airport', '34 min drive', '21.6 mi'), ('NY - Red Hook Container Terminal', '30 min drive', '17.9 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '22 min drive', '13.2 mi')]",
49 Wyckoff Ave,Fenced Lot,"49,500 SF",Brooklyn,"Rental Rate,$32.00 - $60.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,1,000 SF,Rentable Building Area,49,500 SF,Property Type,Industrial,Year Built,1933",11/27/2019,17291459,$2.67 - $5.00 SF/Mo,Industrial,"1,000 - 39,500 SF",4 Spaces,NY,For Lease,"Office, Retail","[('Jefferson Street Transit Stop', '6 min walk', '0.1 mi'), ('DeKalb Avenue', '8 min walk', '0.2 mi'), ('Knickerbocker Avenue', '17 min walk', '0.7 mi'), ('Central Avenue Transit Stop', '18 min walk', '0.8 mi'), ('Morgan Avenue Transit Stop', '18 min walk', '0.9 mi'), ('East New York Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Far Rockaway Branch)', '8 min drive', '3.2 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '8 min drive', '3.4 mi'), ('La Guardia Airport', '13 min drive', '6.7 mi'), ('John F. Kennedy International Airport', '19 min drive', '10.7 mi'), ('Newark Liberty International Airport', '38 min drive', '17.0 mi'), ('NY - Red Hook Container Terminal', '12 min drive', '5.7 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '6 min drive', '2.5 mi')]",Lighting
1571 Southern Blvd,,"35,000 SF",Bronx,"Rental Rate,$15.00 /SF/YR,Rentable Building Area,35,000 SF,Property Type,Industrial,Year Built,1987,Property Subtype,Warehouse",9/25/2019,17291726,$1.25 SF/Mo,Industrial,"5,000 - 35,000 SF",7 Spaces,NY,For Lease,Office,"[('174 Street Transit Stop', '3 min walk', '0.1 mi'), ('Freeman Street Transit Stop', '9 min walk', '0.4 mi'), ('West Farms Square-East Tremont Avenue Transit Stop', '13 min walk', '0.6 mi'), ('Whitlock Avenue Transit Stop', '17 min walk', '0.8 mi'), ('Tremont Station Commuter Rail (Harlem Line)', '3 min drive', '1.4 mi'), ('Melrose Station Commuter Rail (Harlem Line)', '5 min drive', '2.0 mi'), ('La Guardia Airport', '18 min drive', '8.7 mi'), ('John F. Kennedy International Airport', '26 min drive', '18.1 mi'), ('Newark Liberty International Airport', '40 min drive', '25.2 mi'), ('NY - Red Hook Container Terminal', '25 min drive', '15.4 mi'), ('CSX INTERMODAL-LITTLE FERRY-NJ', '17 min drive', '10.7 mi')]",
4296 Albany St,,"81,050 SF",Colonie,"Rental Rate,$5.95 /SF/YR,Rentable Building Area,81,050 SF,Property Type,Industrial,Year Built,1963,Property Subtype,Warehouse",9/26/2019,17303660,$0.50 SF/Mo,Industrial,"15,000 SF",1 Space,NY,For Lease,Industrial,"[('Albany International Airport', '16 min drive', '7.0 mi'), ('Albany, NY Port', '23 min drive', '13.2 mi'), ('BULK TRANS-LOADING SERVICE- ALBANY-NY', '11 min drive', '5.0 mi')]",
27 Horton Ave,Fenced Lot,"16,813 SF",New Rochelle,"Rental Rate,$17.00 /SF/YR,Rentable Building Area,16,813 SF,Property Type,Industrial,Year Built,1953,Property Subtype,Warehouse",9/26/2019,17303933,$1.42 SF/Mo,Industrial,"13,300 SF",1 Space,NY,For Lease,Industrial,"[('New Rochelle Station Commuter Rail (New Haven Line)', '15 min walk', '0.8 mi'), ('Pelham Station Commuter Rail (New Haven Line)', '6 min drive', '1.8 mi'), ('Westchester County Airport', '25 min drive', '15.2 mi'), ('La Guardia Airport', '26 min drive', '15.4 mi'), ('John F. Kennedy International Airport', '34 min drive', '23.0 mi'), ('NY - Red Hook Container Terminal', '40 min drive', '25.1 mi'), ('GENESEE AND WYOMING-GREENWICH-CT-66 FIELD P', '20 min drive', '13.1 mi')]",Gas
100 Dunn Rd,,"132,500 SF",Lyons,"Rental Rate,$4.00 - $9.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,1,000 SF,Rentable Building Area,132,500 SF,Property Type,Industrial,Year Built,1972",9/30/2019,17329273,$0.33 - $0.75 SF/Mo,Industrial,"1,000 - 85,000 SF",2 Spaces,NY,For Lease,"Office, Industrial","[('Albany, NY Port', '232 min drive', '195.2 mi'), ('J. MacKenzie Limited', '64 min drive', '47.3 mi')]","Water - City Water,Sewer - City Sewer"
1128 Lexington Ave,"Front Loading,Signage,Storage Space","19,000 SF",Rochester,"Rental Rate,$5.50 /SF/YR,Rentable Building Area,19,000 SF,Property Type,Industrial,Year Built,1975,Property Subtype,Warehouse",10/1/2019,17334705,$0.46 SF/Mo,Industrial,"19,000 SF",1 Space,NY,For Lease,Industrial,,"Lighting,Gas,Water,Sewer,Heating"
1414 39th St,,"9,500 SF",Brooklyn,"Rental Rate,$20.00 /SF/YR,Rentable Building Area,9,500 SF,Property Type,Industrial,Year Built,1930,Property Subtype,Warehouse",6/25/2019,16443861,$1.67 SF/Mo,Industrial,"9,500 SF",1 Space,NY,For Lease,Industrial,"[('Church Avenue', '10 min walk', '0.5 mi'), ('Ditmas Avenue Transit Stop', '10 min walk', '0.5 mi'), ('Fort Hamilton Parkway', '15 min walk', '0.7 mi'), ('18 Avenue', '17 min walk', '0.8 mi'), ('50 Street', '18 min walk', '0.9 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '9 min drive', '4.1 mi'), ('Flatbush Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '9 min drive', '4.3 mi'), ('John F. Kennedy International Airport', '23 min drive', '13.2 mi'), ('La Guardia Airport', '25 min drive', '13.6 mi'), ('Newark Liberty International Airport', '38 min drive', '18.7 mi'), ('NY - Red Hook Container Terminal', '7 min drive', '4.1 mi'), ('Liberty Transmodal, Inc. c/o Cross Harbor', '5 min drive', '2.2 mi')]",
220 Miller Pl,,"22,000 SF",Hicksville,"Rental Rate,$14.00 /SF/YR,Rentable Building Area,22,000 SF,Property Type,Industrial,Year Built,1954,Property Subtype,Warehouse",7/2/2019,16502733,$1.17 SF/Mo,Industrial,"13,000 SF",1 Space,NY,For Lease,Industrial,,
5 First Ave,Fenced Lot,"8,280 SF",Huntington Station,"Rental Rate,$15.00 /SF/YR,Rentable Building Area,8,280 SF,Property Type,Industrial,Year Built,1932,Property Subtype,Warehouse",7/3/2019,16518590,$1.25 SF/Mo,Industrial,"4,000 - 8,280 SF",2 Spaces,NY,For Lease,"Office, Industrial","[('Huntington Station Commuter Rail (Port Jefferson Branch)', '7 min walk', '0.3 mi'), ('Cold Spring Harbor Station Commuter Rail (Port Jefferson Branch)', '6 min drive', '2.8 mi'), ('Long Island MacArthur Airport', '33 min drive', '18.7 mi'), ('John F. Kennedy International Airport', '43 min drive', '33.6 mi'), ('NY - Red Hook Container Terminal', '55 min drive', '38.0 mi'), ('Pinter Warehouse', '18 min drive', '9.9 mi')]",
46 Saratoga Blvd,Fenced Lot,"10,000 SF",Island Park,"Rental Rate,$14.60 /SF/YR,Rentable Building Area,10,000 SF,Property Type,Industrial,Year Built/Renovated,1948/1969,Property Subtype,Warehouse",2/5/2020,16546680,$1.22 SF/Mo,Industrial,"2,550 SF",1 Space,NY,For Lease,Industrial,"[('Island Park Station Commuter Rail (Long Beach Branch)', '3 min drive', '1.2 mi'), ('Long Beach Station Commuter Rail (Long Beach Branch)', '5 min drive', '2.2 mi'), ('John F. Kennedy International Airport', '21 min drive', '13.8 mi'), ('La Guardia Airport', '30 min drive', '20.8 mi'), ('Newark Liberty International Airport', '64 min drive', '36.4 mi'), ('NY - Red Hook Container Terminal', '36 min drive', '23.4 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '29 min drive', '18.4 mi')]","Sewer - City Sewer,Heating - Gas"
35 Meadow St,,"31,000 SF",Brooklyn,"Rental Rate,$39.00 /SF/YR,Rentable Building Area,31,000 SF,Property Type,Industrial,Year Built,1920,Property Subtype,Warehouse,OfficeLoft Creative Space",12/13/2019,16473291,$3.25 SF/Mo,Industrial,"1,400 SF",1 Space,NY,For Lease,Industrial,"[('Grand Street', '8 min walk', '0.4 mi'), ('Montrose Avenue Transit Stop', '9 min walk', '0.5 mi'), ('Morgan Avenue Transit Stop', '10 min walk', '0.5 mi'), ('Graham Avenue Transit Stop', '14 min walk', '0.7 mi'), ('Lorimer Street', '19 min walk', '0.9 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '8 min drive', '3.2 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '8 min drive', '3.3 mi'), ('La Guardia Airport', '13 min drive', '7.0 mi'), ('John F. Kennedy International Airport', '21 min drive', '12.2 mi'), ('Newark Liberty International Airport', '35 min drive', '15.7 mi'), ('NY - Red Hook Container Terminal', '12 min drive', '5.8 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '9 min drive', '3.3 mi')]",
189-193 Willow Ave,"Bus Line,Metro/Subway","17,000 SF",Bronx,"Rental Rate,$25.50 /SF/YR,Rentable Building Area,17,000 SF,Min. Divisible,600 SF,Year Built/Renovated,1931/2000,Property Type,Industrial,Cross Streets,E 137th St,Property Subtype,Warehouse",7/10/2019,16576658,$2.13 SF/Mo,Industrial,"600 - 6,000 SF",1 Space,NY,For Lease,Industrial,"[('Cypress Avenue Transit Stop', '6 min walk', '0.3 mi'), ('Brook Avenue Transit Stop', '11 min walk', '0.5 mi'), ('East 143 Street-St Marys Street Transit Stop', '13 min walk', '0.6 mi'), ('East 149 Street Transit Stop', '19 min walk', '1.0 mi'), ('3 Avenue-138 Street Transit Stop', '19 min walk', '1.0 mi'), ('Harlem-125th Street Station Commuter Rail (Hudson, Harlem, New Haven Lines)', '5 min drive', '2.2 mi'), ('Melrose Station Commuter Rail (Harlem Line)', '7 min drive', '2.8 mi'), ('La Guardia Airport', '14 min drive', '6.5 mi'), ('John F. Kennedy International Airport', '27 min drive', '17.6 mi'), ('Newark Liberty International Airport', '40 min drive', '23.5 mi'), ('NY - Red Hook Container Terminal', '23 min drive', '13.9 mi'), ('CSX INTERMODAL-LITTLE FERRY-NJ', '19 min drive', '12.1 mi')]",
1083 McDonald Ave,,"44,900 SF",Brooklyn,"Rental Rate,$35.00 /SF/YR,Rentable Building Area,44,900 SF,Property Type,Industrial,Year Built,1920,Property Subtype,Warehouse",7/10/2019,16574796,$2.92 SF/Mo,Industrial,"6,500 SF",1 Space,NY,For Lease,Office/Retail,"[('Avenue I Transit Stop', '2 min walk', '0.1 mi'), ('18 Avenue', '4 min walk', '0.2 mi'), ('Bay Parkway', '8 min walk', '0.4 mi'), ('Ditmas Avenue Transit Stop', '13 min walk', '0.7 mi'), ('Avenue H Transit Stop', '19 min walk', '1.0 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '10 min drive', '4.9 mi'), ('Flatbush Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '10 min drive', '5.1 mi'), ('John F. Kennedy International Airport', '24 min drive', '13.9 mi'), ('La Guardia Airport', '26 min drive', '14.4 mi'), ('Newark Liberty International Airport', '39 min drive', '19.4 mi'), ('NY - Red Hook Container Terminal', '8 min drive', '4.8 mi'), ('Liberty Transmodal, Inc. c/o Cross Harbor', '8 min drive', '3.2 mi')]",
85 Mushroom Blvd,Signage,"21,700 SF",Henrietta,"Rental Rate,$6.25 /SF/YR,Rentable Building Area,21,700 SF,Property Type,Industrial,Year Built,1974,Property Subtype,Warehouse",7/11/2019,16583306,$0.52 SF/Mo,Industrial,"14,700 SF",1 Space,NY,For Lease,Industrial,"[('Greater Rochester International Airport', '10 min drive', '5.5 mi'), ('Albany, NY Port', '267 min drive', '224.1 mi'), ('J. MacKenzie Limited', '7 min drive', '2.6 mi')]",
